First_Name,Last_Name,Country,Bronze,Silver,Gold,Grand Total
 Arne,Borg,Sweden,2,2,1,5
 Kathrin,Boron,Germany,1,0,4,5
 Valery,Borzov,Soviet Union,2,1,2,5
 Roland,Brückner,East Germany,3,1,1,5
 Julien Louis,Brule,France,1,3,1,5
 Georges,Buchard,France,1,2,2,5
 Constanta,Burcica,Romania,1,1,3,5
 Antje,Buschschulte,Germany,5,0,0,5
 Veronica,Campbell-Brown,Jamaica,1,1,3,5
 Eric,Carlberg,Sweden,0,3,2,5
 Henri,Chammartin,Switzerland,2,2,1,5
 Andrew,Charlton,Australia,1,3,1,5
 Jing,Chen,China,1,2,2,5
 James,Connolly,United States,2,2,1,5
 Ian,Crocker,United States,1,1,3,5
 Josh,Davis,United States,0,2,3,5
 Adrianus Egbertus Willem,De Jong,Netherlands,5,0,0,5
 Manlio,Di Rosa,Italy,1,2,2,5
 Klaus,Dibiasi,Italy,0,2,3,5
 Ines,Diers,East Germany,1,2,2,5
 Wilfried,Dietrich,Unified team of Germany,2,2,1,5
 Andreas,Dittmer,Germany,1,1,3,5
 Heike,Drechsler,East Germany,2,1,2,5
 Philip,Edwards,Canada,5,0,0,5
 Teresa,Edwards,United States,1,0,4,5
 Mauritz,Eriksson,Sweden,3,1,1,5
 Janet,Evans,United States,0,1,4,5
 Dennis,Fenton,United States,2,0,3,5
 Ian Gordon,Ferguson,New Zealand,0,1,4,5
 Jens,Fiedler,Germany,2,0,3,5
 Gustav,Fischer,Switzerland,2,3,0,5
 Morris,Fisher,United States,0,0,5,5
 Laura,Flessel-Colovic,France,2,1,2,5
 Ramon,Fonst,Cuba,0,1,4,5
 Mingxia,Fu,China,0,1,4,5
 Elena,Georgescu,Romania,1,1,3,5
 Gina Elena,Gogean,Romania,3,2,0,5
 Galina,Gorokhova,Soviet Union,1,1,3,5
 Shane,Gould,Australia,1,1,3,5
 Torben,Grael,Brazil,2,1,2,5
 Florence,Griffith-Joyner,United States,0,2,3,5
 Maria,Grozdeva,Bulgaria,3,0,2,5
 Koji,Gushiken,Japan,2,1,2,5
 Dezso,Gyarmati,Hungary,1,1,3,5
 Albert,Helgerud,Norway,1,2,2,5
 John Frederick,Hencken,United States,1,1,3,5
 Olaf,Heukrodt,East Germany,2,2,1,5
 Anders,Holmertz,Sweden,1,4,0,5
 Chris,Hoy,United Kingdom,0,1,4,5
 Veikko,Huhtanen,Finland,1,1,3,5
 Marcus,Hurley,United States,1,0,4,5
 Josefa,Idem,West Germany,2,2,1,5
 Carl Hugo,Johansson,Sweden,3,0,2,5
 Andre Rene,Jousseaume,France,1,2,2,5
 Duke Paoa,Kahanamoku,United States,0,2,3,5
 Ekaterina,Karsten,Unified team,2,1,2,5
 Klete,Keller,United States,2,1,2,5
 Viktor,Klimenko,Soviet Union,1,3,1,5
 Yana,Klochkova,Ukraine,0,1,4,5
 Hannes,Kolehmainen,Finland,0,1,4,5
 Jean-Francois,Lamour,France,2,1,2,5
 P. Fredric,Landelius,Sweden,2,3,0,5
 Niels Hansen Ditlev,Larsen,Denmark,3,1,1,5
 Tatyana,Lebedeva,Russia,1,3,1,5
 Xiaopeng,Li,China,1,0,4,5
 Liselott,Linsenhoff,Unified team of Germany,1,2,2,5
 Viktor,Lisitsky,Soviet Union,0,5,0,5
 Nastia,Liukin,United States,1,3,1,5
 Marina,Logvinenko,Soviet Union,2,1,2,5
 Yun,Lou,China,1,2,2,5
